,x,y,word,label
REST,-52.2993,-23.08147,REST,4
pecl,55.711155,-23.572191,pecl,3
Sce,-59.295395,-15.537494,Sce,1
cplee,9.41522,-16.249338,cplee,4
URL,39.24631,-25.50777,URL,3
"n,",48.67853,-29.503483,"n,",3
K,-56.64158,-19.336485,K,1
elg,1.7013342,-26.832012,elg,2
ngg,-12.548583,-40.72359,ngg,4
ppg,2.1390946,-21.635477,ppg,2
fcl,-31.959137,-20.01777,fcl,0
"ge,",38.650032,-36.72441,"ge,",3
"h,",48.359303,-30.438707,"h,",3
lcl,9.071607,-46.040104,lcl,3
Fun,-55.862976,-10.156219,Fun,1
uch,35.820515,-26.385952,uch,3
Fcebk,-50.326347,-24.729942,Fcebk,4
"fle,",52.12022,-36.701584,"fle,",3
Tl,-41.645817,-22.292126,Tl,1
excep,43.805077,-30.158382,excep,3
Al,17.503036,-25.349062,Al,0
Jvcrp,-14.417825,-29.097754,Jvcrp,4
ece,40.50323,3.0135958,ece,2
+,-29.851326,-25.167376,+,4
unc,1.9598776,-41.39502,unc,4
flexble,-17.9377,-31.89218,flexble,4
V,-43.03004,-16.085314,V,1
blck,53.833305,-21.376442,blck,3
clun,55.67547,-31.316221,clun,3
GNU,-31.281866,-37.88264,GNU,0
crcl,-24.119137,-34.260994,crcl,1
Enerp,-57.413467,-16.509005,Enerp,1
Delpn,-58.47971,-18.14554,Delpn,1
exple,49.029884,-22.213083,exple,3
expence,-15.956237,-41.65759,expence,4
bul-,-6.996225,-22.672989,bul-,4
nger,-23.137934,-9.712476,nger,4
ng,49.187016,-23.422443,ng,3
"que,",17.277433,-32.13794,"que,",0
cur,51.070175,-26.683697,cur,3
Mcr',-55.581158,-9.6264925,Mcr',1
"r,",49.976997,-17.569208,"r,",3
fler,51.99498,-36.482338,fler,3
rule,53.57056,-22.367989,rule,3
PDF,25.78135,-36.347794,PDF,4
hnlg,20.509663,-20.336136,hnlg,3
cul,45.463646,-28.974459,cul,3
plene,-3.3380394,-25.57359,plene,2
lgc,53.720203,-19.451572,lgc,3
